iter	Passed	Remaining
0	34	34905
1	63	31632
2	122	40656
3	214	53402
4	308	61394
5	401	66571
6	502	71239
7	599	74287
8	657	72364
9	752	74504
10	813	73123
11	907	74724
12	1005	76344
13	1103	77685
14	1200	78804
15	1297	79782
16	1398	80880
17	1502	81972
18	1602	82754
19	1701	83355
20	1729	80641
21	1825	81166
22	1919	81542
23	2016	81988
24	2110	82297
25	2203	82555
26	2298	82829
27	2395	83151
28	2492	83470
29	2588	83695
30	2685	83952
31	2780	84111
32	2876	84303
33	2976	84556
34	3074	84777
35	3168	84839
36	3265	85001
37	3360	85073
38	3456	85162
39	3551	85244
40	3646	85289
41	3741	85343
42	3836	85385
43	3854	83756
44	3951	83849
45	4047	83943
46	4144	84040
47	4239	84092
48	4338	84195
49	4433	84229
50	4527	84251
51	4622	84271
52	4718	84318
53	4815	84367
54	4913	84419
55	5011	84481
56	5107	84495
57	5204	84530
58	5302	84573
59	5397	84566
60	5491	84540
61	5588	84543
62	5684	84549
63	5780	84540
64	5877	84541
65	5892	83391
66	5988	83396
67	6089	83465
68	6186	83472
69	6283	83485
70	6380	83488
71	6476	83470
72	6573	83471
73	6669	83460
74	6766	83458
75	6862	83432
76	6958	83413
77	7053	83376
78	7149	83352
79	7246	83336
80	7343	83313
81	7441	83303
82	7536	83269
83	7632	83235
84	7754	83470
85	7896	83928
86	7994	83899
87	8091	83856
88	8181	83741
89	8274	83659
90	8368	83593
91	8458	83482
92	8550	83392
93	8636	83239
94	8721	83088
95	8810	82969
96	8901	82864
97	8994	82784
98	9084	82673
99	9176	82584
100	9269	82504
101	9357	82380
102	9446	82267
103	9533	82131
104	9621	82014
105	9709	81890
106	9796	81755
107	9883	81626
108	9969	81490
109	10054	81349
110	10147	81270
111	10243	81219
112	10272	80633
113	10370	80598
114	10467	80550
115	10573	80575
116	10679	80600
117	10784	80608
118	10803	79982
119	10909	80004
120	11008	79973
121	11099	79878
122	11185	79754
123	11273	79643
124	11358	79508
125	11446	79401
126	11532	79272
127	11617	79146
128	11703	79019
129	11728	78494
130	11814	78373
131	11868	78043
132	11956	77940
133	11973	77378
134	12061	77280
135	12147	77171
136	12235	77072
137	12321	76962
138	12408	76861
139	12443	76438
140	12530	76338
141	12616	76232
142	12702	76127
143	12718	75604
144	12803	75497
145	12889	75393
146	12978	75308
147	13066	75220
148	13152	75117
149	13239	75021
150	13325	74923
151	13410	74819
152	13496	74717
153	13584	74626
154	13671	74530
155	13758	74437
156	13846	74350
157	13934	74257
158	14021	74162
159	14109	74074
160	14194	73969
161	14283	73886
162	14369	73788
163	14457	73696
164	14543	73596
165	14629	73497
166	14713	73392
167	14799	73293
168	14885	73193
169	14971	73096
170	15058	73004
171	15144	72905
172	15229	72803
173	15315	72704
174	15401	72606
175	15487	72507
176	15574	72418
177	15660	72319
178	15745	72219
179	15831	72121
180	15917	72023
181	16002	71924
182	16088	71825
183	16173	71727
184	16194	71342
185	16280	71248
186	16366	71155
187	16453	71065
188	16539	70972
189	16556	70584
190	16641	70486
191	16728	70399
192	16815	70313
193	16902	70223
194	16917	69840
195	17003	69748
196	17091	69665
197	17177	69578
198	17264	69491
199	17281	69126
200	17335	68909
201	17423	68832
202	17508	68740
203	17595	68655
204	17679	68562
205	17713	68276
206	17748	67993
207	17835	67911
208	17921	67828
209	17959	67563
210	18047	67486
211	18132	67396
212	18218	67314
213	18304	67232
214	18359	67032
215	18445	66950
216	18532	66869
217	18616	66779
218	18636	66461
219	18721	66375
220	18807	66294
221	18894	66214
222	18919	65922
223	18955	65666
224	19040	65585
225	19095	65397
226	19181	65317
227	19268	65241
228	19354	65163
229	19442	65091
230	19529	65012
231	19546	64706
232	19634	64633
233	19733	64597
234	19834	64567
235	19931	64524
236	20028	64480
237	20125	64436
238	20222	64389
239	20320	64347
240	20416	64300
241	20444	64035
242	20542	63992
243	20641	63954
244	20734	63896
245	20832	63853
246	20926	63797
247	21022	63746
248	21120	63701
249	21228	63685
250	21252	63419
251	21359	63400
252	21461	63367
253	21564	63334
254	21664	63293
255	21763	63251
256	21860	63199
257	21956	63145
258	22054	63097
259	22150	63043
260	22236	62960
261	22320	62873
262	22405	62786
263	22491	62704
264	22579	62626
265	22665	62541
266	22750	62458
267	22836	62374
268	22921	62289
269	23005	62201
270	23091	62115
271	23176	62030
272	23260	61942
273	23345	61856
274	23430	61770
275	23515	61685
276	23599	61598
277	23685	61515
278	23744	61362
279	23843	61312
280	23862	61058
281	23962	61009
282	24059	60956
283	24161	60914
284	24260	60863
285	24356	60806
286	24457	60760
287	24555	60706
288	24641	60623
289	24728	60541
290	24819	60470
291	24906	60389
292	24996	60315
293	25084	60236
294	25172	60157
295	25259	60077
296	25347	59996
297	25432	59911
298	25485	59750
299	25542	59599
300	25633	59526
301	25727	59462
302	25814	59382
303	25906	59313
304	25992	59228
305	26078	59144
306	26167	59068
307	26255	58989
308	26342	58908
309	26444	58859
310	26542	58802
311	26638	58742
312	26734	58679
313	26828	58613
314	26923	58547
315	27016	58479
316	27113	58417
317	27206	58348
318	27298	58277
319	27393	58210
320	27487	58144
321	27581	58075
322	27675	58006
323	27768	57936
324	27863	57869
325	27957	57801
326	28052	57734
327	28149	57672
328	28251	57618
329	28342	57543
330	28428	57457
331	28516	57376
332	28610	57306
333	28706	57240
334	28798	57166
335	28893	57099
336	28988	57030
337	29076	56947
338	29169	56876
339	29257	56794
340	29347	56716
341	29435	56632
342	29523	56550
343	29612	56471
344	29700	56387
345	29787	56303
346	29876	56222
347	29965	56142
348	30050	56054
349	30136	55966
350	30221	55880
351	30307	55793
352	30395	55710
353	30481	55623
354	30564	55532
355	30652	55450
356	30738	55363
357	30824	55277
358	30912	55195
359	30997	55106
360	31083	55019
361	31167	54930
362	31251	54841
363	31337	54754
364	31423	54667
365	31508	54579
366	31594	54494
367	31681	54409
368	31766	54322
369	31852	54236
370	31939	54151
371	32024	54062
372	32109	53974
373	32192	53883
374	32275	53792
375	32361	53705
376	32447	53620
377	32500	53480
378	32586	53394
379	32673	53310
380	32760	53225
381	32845	53137
382	32931	53051
383	33017	52965
384	33102	52877
385	33186	52788
386	33272	52702
387	33357	52615
388	33442	52528
389	33527	52440
390	33611	52352
391	33696	52264
392	33780	52175
393	33866	52089
394	33950	52000
395	34035	51913
396	34120	51825
397	34204	51736
398	34287	51646
399	34371	51557
400	34455	51468
401	34542	51383
402	34628	51298
403	34712	51210
404	34798	51123
405	34883	51036
406	34968	50949
407	35053	50862
408	35139	50775
409	35222	50686
410	35308	50600
411	35393	50513
412	35479	50426
413	35532	50294
414	35618	50209
415	35704	50123
416	35789	50036
417	35875	49951
418	35901	49781
419	35986	49695
420	36071	49608
421	36157	49524
422	36242	49436
423	36326	49348
424	36412	49264
425	36499	49179
426	36583	49091
427	36669	49007
428	36754	48920
429	36838	48832
430	36924	48747
431	37009	48660
432	37093	48572
433	37178	48486
434	37264	48400
435	37350	48315
436	37436	48230
437	37490	48104
438	37577	48020
439	37664	47937
440	37750	47851
441	37834	47764
442	37918	47676
443	38003	47590
444	38088	47504
445	38173	47416
446	38259	47332
447	38346	47248
448	38431	47162
449	38515	47074
450	38598	46985
451	38682	46898
452	38767	46812
453	38852	46726
454	38938	46641
455	39024	46554
456	39109	46468
457	39209	46400
458	39311	46334
459	39415	46270
460	39512	46198
461	39610	46126
462	39713	46060
463	39810	45987
464	39907	45915
465	39999	45836
466	40086	45751
467	40181	45676
468	40276	45601
469	40372	45526
470	40468	45451
471	40564	45376
472	40662	45304
473	40758	45229
474	40857	45158
475	40955	45085
476	41050	45009
477	41146	44933
478	41239	44855
479	41333	44777
480	41429	44702
481	41522	44623
482	41616	44546
483	41709	44467
484	41804	44390
485	41900	44314
486	41993	44235
487	42087	44157
488	42180	44078
489	42274	43999
490	42368	43921
491	42463	43844
492	42557	43765
493	42652	43688
494	42748	43611
495	42843	43534
496	42937	43456
497	43033	43379
498	43129	43302
499	43222	43222
500	43318	43146
501	43418	43072
502	43511	42992
503	43604	42912
504	43698	42832
505	43789	42751
506	43884	42673
507	43977	42592
508	44071	42513
509	44165	42433
510	44261	42355
511	44357	42278
512	44451	42198
513	44547	42120
514	44644	42043
515	44739	41964
516	44835	41886
517	44929	41807
518	45025	41729
519	45121	41651
520	45218	41572
521	45314	41495
522	45408	41414
523	45505	41336
524	45601	41258
525	45695	41178
526	45790	41098
527	45884	41018
528	45981	40939
529	46075	40859
530	46170	40779
531	46263	40698
532	46358	40618
533	46454	40539
534	46550	40459
535	46644	40378
536	46739	40298
537	46834	40218
538	46928	40137
539	47023	40056
540	47117	39976
541	47212	39895
542	47307	39814
543	47400	39732
544	47495	39652
545	47589	39570
546	47684	39489
547	47778	39408
548	47871	39325
549	47966	39245
550	48059	39163
551	48155	39083
552	48252	39003
553	48349	38924
554	48445	38843
555	48541	38763
556	48633	38680
557	48727	38598
558	48821	38516
559	48917	38434
560	49009	38351
561	49106	38271
562	49200	38189
563	49294	38107
564	49388	38024
565	49480	37940
566	49575	37859
567	49668	37776
568	49764	37695
569	49859	37613
570	49952	37530
571	50045	37447
572	50138	37363
573	50233	37281
574	50328	37199
575	50425	37118
576	50521	37037
577	50614	36953
578	50710	36872
579	50804	36789
580	50897	36705
581	50993	36624
582	51087	36541
583	51181	36457
584	51274	36374
585	51368	36291
586	51465	36209
587	51559	36126
588	51653	36043
589	51751	35962
590	51848	35881
591	51943	35798
592	52038	35716
593	52132	35632
594	52226	35549
595	52320	35465
596	52416	35382
597	52514	35302
598	52610	35219
599	52705	35136
600	52798	35052
601	52893	34969
602	52989	34887
603	53081	34801
604	53176	34718
605	53269	34633
606	53363	34550
607	53460	34468
608	53553	34383
609	53646	34298
610	53741	34215
611	53835	34131
612	53929	34046
613	54024	33962
614	54116	33877
615	54210	33793
616	54302	33708
617	54395	33623
618	54490	33539
619	54584	33455
620	54679	33371
621	54774	33287
622	54869	33203
623	54963	33119
624	55059	33035
625	55154	32951
626	55248	32867
627	55345	32784
628	55441	32700
629	55538	32617
630	55636	32535
631	55760	32468
632	55859	32386
633	55955	32302
634	56051	32218
635	56143	32132
636	56239	32048
637	56335	31964
638	56432	31881
639	56528	31797
640	56621	31711
641	56718	31628
642	56825	31549
643	56922	31466
644	57010	31377
645	57102	31291
646	57196	31206
647	57281	31116
648	57369	31027
649	57455	30937
650	57542	30848
651	57627	30758
652	57713	30668
653	57800	30579
654	57902	30498
655	58004	30417
656	58103	30334
657	58203	30251
658	58301	30168
659	58397	30083
660	58483	29993
661	58570	29904
662	58655	29814
663	58741	29724
664	58827	29634
665	58914	29545
666	58999	29455
667	59085	29365
668	59172	29276
669	59258	29186
670	59343	29096
671	59430	29007
672	59517	28918
673	59603	28828
674	59688	28738
675	59774	28649
676	59859	28559
677	59945	28469
678	60032	28380
679	60117	28290
680	60204	28201
681	60229	28083
682	60316	27994
683	60404	27906
684	60490	27816
685	60576	27727
686	60677	27644
687	60772	27559
688	60863	27472
689	60959	27387
690	61057	27303
691	61154	27219
692	61254	27135
693	61359	27054
694	61460	26971
695	61564	26890
696	61662	26805
697	61758	26720
698	61852	26634
699	61948	26549
700	62041	26462
701	62136	26377
702	62229	26290
703	62324	26204
704	62418	26118
705	62512	26032
706	62607	25946
707	62702	25860
708	62800	25775
709	62894	25689
710	62990	25603
711	63085	25517
712	63178	25430
713	63276	25345
714	63373	25260
715	63471	25175
716	63564	25089
717	63659	25002
718	63755	24916
719	63851	24831
720	63947	24745
721	64042	24659
722	64135	24571
723	64230	24485
724	64324	24398
725	64421	24313
726	64515	24226
727	64609	24139
728	64704	24053
729	64800	23967
730	64893	23880
731	64989	23794
732	65085	23707
733	65180	23621
734	65278	23535
735	65374	23449
736	65468	23362
737	65563	23275
738	65659	23189
739	65752	23102
740	65845	23014
741	65938	22927
742	66034	22840
743	66131	22754
744	66225	22667
745	66321	22581
746	66415	22494
747	66511	22407
748	66604	22320
749	66701	22233
750	66797	22147
751	66893	22060
752	66987	21973
753	67082	21886
754	67175	21798
755	67271	21711
756	67366	21625
757	67464	21538
758	67560	21452
759	67654	21364
760	67748	21277
761	67843	21189
762	67938	21102
763	68033	21015
764	68126	20927
765	68223	20841
766	68317	20753
767	68414	20666
768	68507	20579
769	68603	20492
770	68698	20404
771	68792	20316
772	68849	20218
773	68942	20130
774	69038	20043
775	69132	19955
776	69226	19868
777	69320	19780
778	69415	19692
779	69509	19605
780	69603	19517
781	69699	19430
782	69792	19342
783	69829	19238
784	69926	19151
785	70019	19063
786	70114	18976
787	70207	18888
788	70303	18800
789	70319	18692
790	70416	18605
791	70512	18518
792	70607	18431
793	70700	18342
794	70794	18255
795	70887	18167
796	70981	18079
797	71075	17991
798	71169	17903
799	71262	17815
800	71357	17727
801	71453	17640
802	71546	17552
803	71638	17464
804	71733	17376
805	71826	17288
806	71921	17200
807	72017	17112
808	72113	17025
809	72206	16937
810	72300	16849
811	72394	16761
812	72487	16673
813	72582	16585
814	72677	16497
815	72771	16409
816	72864	16320
817	72959	16233
818	73055	16145
819	73148	16057
820	73242	15968
821	73336	15880
822	73432	15792
823	73528	15705
824	73622	15616
825	73715	15528
826	73809	15440
827	73905	15352
828	74000	15264
829	74093	15175
830	74189	15087
831	74284	14999
832	74377	14911
833	74471	14822
834	74565	14734
835	74659	14646
836	74755	14558
837	74850	14469
838	74946	14381
839	75040	14293
840	75135	14205
841	75231	14117
842	75325	14028
843	75422	13940
844	75514	13851
845	75610	13763
846	75704	13675
847	75800	13586
848	75897	13498
849	75997	13411
850	76096	13323
851	76197	13236
852	76293	13147
853	76391	13059
854	76486	12971
855	76581	12882
856	76674	12794
857	76770	12705
858	76862	12616
859	76957	12528
860	77054	12439
861	77152	12351
862	77239	12261
863	77334	12172
864	77423	12083
865	77509	11993
866	77599	11903
867	77689	11814
868	77775	11724
869	77860	11634
870	77945	11544
871	78033	11454
872	78118	11364
873	78207	11274
874	78296	11185
875	78381	11095
876	78467	11005
877	78554	10915
878	78639	10825
879	78731	10736
880	78818	10646
881	78903	10556
882	78993	10466
883	79083	10377
884	79175	10288
885	79262	10198
886	79346	10108
887	79445	10020
888	79535	9930
889	79620	9840
890	79705	9750
891	79793	9661
892	79878	9571
893	79963	9481
894	80048	9391
895	80135	9301
896	80220	9211
897	80306	9121
898	80393	9031
899	80478	8942
900	80562	8852
901	80649	8762
902	80734	8672
903	80788	8579
904	80874	8489
905	80959	8399
906	81045	8310
907	81130	8220
908	81217	8130
909	81305	8041
910	81392	7951
911	81478	7861
912	81562	7772
913	81658	7683
914	81753	7594
915	81842	7505
916	81931	7415
917	82018	7326
918	82109	7237
919	82194	7147
920	82278	7057
921	82364	6967
922	82457	6878
923	82544	6789
924	82631	6699
925	82718	6610
926	82803	6520
927	82897	6431
928	82995	6343
929	83090	6254
930	83188	6165
931	83287	6076
932	83382	5987
933	83476	5898
934	83570	5809
935	83664	5720
936	83759	5631
937	83853	5542
938	83949	5453
939	84043	5364
940	84070	5271
941	84164	5182
942	84258	5093
943	84353	5004
944	84449	4915
945	84543	4825
946	84638	4736
947	84734	4647
948	84752	4554
949	84846	4465
950	84942	4376
951	85036	4287
952	85131	4198
953	85225	4109
954	85323	4020
955	85416	3931
956	85511	3842
957	85605	3753
958	85700	3663
959	85796	3574
960	85894	3485
961	85987	3396
962	86082	3307
963	86178	3218
964	86276	3129
965	86371	3039
966	86471	2950
967	86566	2861
968	86662	2772
969	86756	2683
970	86852	2593
971	86945	2504
972	87040	2415
973	87132	2325
974	87227	2236
975	87323	2147
976	87415	2057
977	87511	1968
978	87607	1879
979	87700	1789
980	87796	1700
981	87892	1611
982	87987	1521
983	88081	1432
984	88177	1342
985	88269	1253
986	88363	1163
987	88456	1074
988	88549	984
989	88643	895
990	88739	805
991	88831	716
992	88926	626
993	89023	537
994	89118	447
995	89213	358
996	89308	268
997	89403	179
998	89497	89
999	89537	0
